Символ,Код
Hе,11111111111110011011
I\r,11111010000100
I ,11111111001000101
"I,",1111111111101010011
II,1111100110101
IV,1111111011100011
IX,11111111000010101
Ii,11111111111011110001
Il,111111011101110
Iv,11111111111111110110
J',11111111001100111
J`,111111111111101100101
Ja,11111111111000111000
Je,11111100110011
Jo,11111111111111101101
Ju,111111111001101011
Ka,1111111111001010001
Ko,11111111010111111
Kr,1111111111011110001
L',11111111011001011
La,11111110111101001
Le,111111001101010
Li,11111110111001000
Lo,1111111110111110001
Lu,1111111110111000000
M ,1111111011000010
M.,11111111100001111
Ma,11111010011001
Me,111111111001100111
Mi,1111111111001101000
Mo,111111010100101
Mu,1111111111100010111
Mы,11111111111011110111
N ,11111111111001010001
N',1111111111000000000
N.,1111111111000100101
NN,1111111111011001101
Na,11111111010100011
Ne,1111111111010011101
Ni,11111110111100101
No,111111100001101
Oe,11111111111101011001
Oh,11111111011111101
Ol,11111111111011101001
On,1111111100101111
Ou,11111111111001111001
Oн,111111111110111100101
P.,111111111111010110000
PS,111111111111110011001
Pa,1111111111000001000
Pe,11111111000001100
Pi,111111110100100001
Po,11111111011000001
Pr,1111111001100101
Pu,11111111111010000100
Qu,1111111001110010
Ra,11111111111001000100
Ri,1111111111100011101
Ro,11111111010001001
Ru,11111111010100110
S ,111111111111100000101
S.,111111111001110010
SS,11111111111001010100
Sa,11111111001111001
Sc,11111111001000000
Sh,11111111111010111110
Si,111111110110000100
So,11111110111110100
Su,11111111111111111101
T.,111111111111100010001
Ta,1111111111011101011
Te,11111111111010000001
Th,11111111110010000001
To,11111111001100001
Tr,1111111111001111101
Tu,111111111111000100001
TО,111111111110110101000
Uf,11111111111110100111
Ul,1111111111001000110
Un,11111111011000101
Ur,1111111111001011000
V\r,111111011011011
V ,11111111111100111011
V.,11111111110111000000
VI,111111001100101
V],11111111111111111001
Ve,111111111011001110
Vi,11111111001010101
Vo,111111010010011
Vr,11111111111010100101
Wa,1111111111011001001
We,111111111011110001
Wi,111111111010111110
X\r,1111111001000101
XI,11111100111111
XV,111111010111100
XX,1111111010000110
Xa,111111111111111000001
Ze,111111111110111001001
Zo,11111111111100010101
Zu,1111111111010111011
[A,111111111110111100001
[B,111111111111111011000
[«,11111111111011001011
[А,1111111001100111
[Б,1111111001101100
[В,111111011110011
[Г,111111111001100001
[Д,1111111010111011
[Е,11111111010101110
[Ж,111111111110111110000
[З,111111111010000010
[И,11111111001101000
[К,1111111010000111
[Л,1111111111100011011
[М,11111110110101001
[Н,111111010001111
[О,111111010111101
[П,1111110111000100
[Р,111111111001010110
[С,11111111001110101
[Т,11111111100100110
[У,111111111001000101
[Ф,111111111110111010001
[Х,1111111111001011101
[Ч,11111111010101010
[Э,11111110100100001
[Я,1111111010001001
[а,111111111111001000000
[б,11111111010100101
[в,1111111011010011
[г,1111111110111100000
[д,11111111010011000
[ж,1111111111010111101
[з,1111111111011100001
[и,111111111010010101
[к,111111110110010000
[л,111111111011011001
[м,1111111001001000
[н,11111111001001010
[о,111111110111101001
[п,1111111011111011
[р,11111111111001000101
[с,1111111011100001
[т,1111111111010001000
[у,1111111111001001000
[ф,11111111111011101110
[х,111111111111011011001
[ч,1111111111000110001
[щ,111111111111111111000
[э,11111111111011010111
[„,111111111111001110101
]\r,11111001000001
] ,111011101001
]),11111111111101111010
"],",1111111001110000
].,111111111000010101
];,11111111111011000001
]?,111111111111001100000
`a,111111111111110110101
`i,11111111111011111110
`а,111111111111000010001
`з,11111111111011110110
`о,1111111111011110110
`у,11111111111110101011
a ,111010011001
a!,11111111111100011101
"a,",1111111011010010
a.,111111111001100000
a?,11111111111111100001
ab,111111000111000
ac,111111001111101
ad,111111010100100
ae,1111111111100101011
af,11111111000001000
ag,111111000000000
ah,111111111010101111
ai,111011010000
aj,1111111111100110011
ak,111111111000100101
al,11111001010001
am,11111001001100
an,111100000110
ap,111111010010100
aq,11111111001010100
ar,1111001110000
as,1111011101110
at,11111010011101
au,1111010111001
av,11111010001100
ax,111111111110111000100
ay,111111111010000000
az,1111111110111001001
a»,1111111111010110011
aл,11111111111011111101
aм,11111111111111101111
aн,11111111111100001011
a…,1111111111011011011
b ,1111111111000100001
b),11111111111011100110
ba,111111011101001
bb,111111111111100100100
bc,11111111111010100001
be,111111001000010
bi,111111001110011
bl,11111011100101
bo,111111000100001
br,1111111000000001
bs,11111111011101001
bu,11111111111000100000
c ,111111011001111
c',111111010101100
"c,",111111111111000110101
ca,11111011110010
cc,1111111011111001
cd,11111111111111000101
ce,111100100011
ch,111100010010
ci,111111001101011
ck,111111110111010000
cl,11111111011000111
cn,111111111111100110001
co,111100100111
cq,111111111001011011
cr,111111010110100
ct,1111111010000011
cu,1111111001010010
cy,111111111110111011001
cв,11111111111100011001
cк,1111111111100101101
cл,11111111111010110000
cо,11111111110110010001
cт,1111111111011110101
cь,111111111110111100100
c…,11111111111010100000
d ,111111001011000
d!,11111111111100010111
d',111110111010000
d),11111111111101111011
"d,",11111111001010110
d.,11111111110110010000
d?,11111111111001110100
dI,111111111111111001001
da,111110111001001
de,11100110010
di,1111100101001
dl,111111111111100100101
dm,1111111110111111001
do,111111000010100
dr,11111011011010
ds,11111111010011100
du,111110111001000
dz,111111111111100001000
d“,11111111111100011011
e\r,1111111111000111101
e ,101100111
e!,111111010110001
e',11111111111000100101
e),111111110111111000
"e,",111011101010
e.,1111100011011
e:,1111111111000010001
e;,111111111000110101
e?,1111110111110101
eM,111111111011000010
ea,1111110111001000
eb,11111111100111111
ec,11111001100001
ed,11111111000010100
ee,11111100000001
ef,1111111001111100
eg,1111110111000000
eh,1111111110110100000
ei,11111010101011
ej,111111111000110100
ek,111111111111101000100
el,1111011101011
em,1111011110111
en,11100011101
eo,1111111011011011
ep,111111010011110
eq,11111111111000000101
er,11100111110
es,11100000101
et,111011001011
eu,111100101101
ev,111111000110100
ew,111111111111010100001
ex,111111011001110
ez,1111011100011
e«,111111111111100000001
e»,1111111011000110
eг,11111111111011011101
eр,11111111111011010011
eх,111111111111000101001
e“,11111111111010010001
e„,111111111111011100101
e…,1111111000111011
f ,11111111000110000
"f,",111111111000011001
f.,111111111010110110
